,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,dra,up,down
117,PVR,EQ,2017-11-01,1387.15,1408.7,1408.7,1368.0,1379.95,1377.5,1386.29,75708,104953058.3,3514,21211,28.02,1391.3178571428568,1437.3122147757888,1345.3234995099249
118,PVR,EQ,2017-11-02,1377.5,1385.0,1388.25,1353.0,1361.6,1363.7,1367.68,112786,154255285.6,8060,34531,30.62,1392.1035714285713,1435.5620478839683,1348.6450949731743
119,PVR,EQ,2017-11-03,1363.7,1361.6,1384.9,1357.0,1364.95,1364.65,1373.32,122714,168525522.05,6930,31312,25.52,1389.2857142857142,1434.474879572769,1344.0965489986595
120,PVR,EQ,2017-11-06,1364.65,1372.75,1415.0,1365.05,1405.05,1403.55,1404.0,168249,236222036.35,10454,65279,38.8,1391.5321428571428,1436.1645492822595,1346.8997364320262
121,PVR,EQ,2017-11-07,1403.55,1406.9,1418.4,1336.55,1343.0,1344.5,1368.39,190385,260520615.45,9613,38958,20.46,1388.4535714285716,1439.7087169756778,1337.1984258814655
122,PVR,EQ,2017-11-08,1344.5,1354.5,1383.0,1350.7,1380.85,1379.9,1367.67,105218,143903223.65,6659,36130,34.34,1389.2250000000004,1439.5418843049129,1338.9081156950879
123,PVR,EQ,2017-11-09,1379.9,1383.0,1400.0,1356.0,1371.85,1366.4,1375.33,112258,154391246.95,7056,35880,31.96,1389.4928571428575,1439.2370003179074,1339.7487139678076
124,PVR,EQ,2017-11-10,1366.4,1378.9,1399.9,1362.55,1395.5,1394.3,1389.89,72183,100326351.35,4102,24411,33.82,1387.9607142857146,1435.4932647290523,1340.428163842377
125,PVR,EQ,2017-11-13,1394.3,1395.0,1440.5,1385.1,1397.7,1398.55,1421.59,311195,442392718.8,15737,74241,23.86,1386.3678571428575,1430.5276127013872,1342.2081015843278
126,PVR,EQ,2017-11-14,1398.55,1412.15,1412.15,1373.5,1402.0,1390.25,1388.19,95558,132652228.95,4926,11380,11.91,1386.4678571428576,1430.658155541121,1342.2775587445942
127,PVR,EQ,2017-11-15,1390.25,1400.0,1422.0,1381.75,1392.0,1386.1,1402.2,152725,214151445.5,8823,37389,24.48,1383.9428571428575,1423.2979243983127,1344.5877898874023
128,PVR,EQ,2017-11-16,1386.1,1392.0,1409.05,1375.5,1394.0,1390.5,1390.49,130358,181261064.25,5681,26123,20.04,1381.7500000000002,1415.1300954047597,1348.3699045952408
129,PVR,EQ,2017-11-17,1390.5,1415.0,1428.95,1390.0,1407.2,1408.05,1411.97,298987,422161988.35,11477,46207,15.45,1382.507142857143,1417.8447422955032,1347.1695434187827
130,PVR,EQ,2017-11-20,1408.05,1408.05,1408.05,1366.15,1379.5,1380.35,1381.88,122552,169352732.8,5982,33563,27.39,1382.0214285714285,1417.2709504293043,1346.7719067135527
